specimen.id,treatment,sex,Csize,curvature
T348n1,dsx,male,299.59454081957,0.0814055785158259
T348n10,dsx,female,320.063188205774,0.0733474294246253
T348n11,dsx,female,314.241237834177,0.0763030240665748
T348n16,dsx,female,333.936844478114,0.0706755294252404
T348n2,dsx,female,318.122268597748,0.0653517422248084
T348n3,dsx,female,318.30523436196,0.0817688843093125
T348n5,dsx,male,263.013307648111,0.0558960180823971
T348n6,dsx,male,220.929350195436,0.0800028863210189
T348n7,dsx,male,220.272558436134,0.0764959967614975
T354n1,dsx,female,313.607330478383,0.0674048057877849
T354n10,dsx,female,299.587860607795,0.0567407292139733
T354n11,dsx,female,287.533572918982,0.050732111348807
T354n2,dsx,male,284.243244813702,0.0581422871532742
T354n3,dsx,female,286.957991505532,0.0509412021170414
T354n4,dsx,female,288.973068677881,0.060758858644864
T354n5,dsx,female,295.011487535278,0.0533909179515244
T354n8,dsx,female,287.646937225327,0.0446198159496075
T397n2,dsx,female,286.201948902441,0.0673858745332281
T431n1,dsx,male,209.008240135274,0.0254377965973048
T431n2,dsx,male,216.964922920222,0.0640958500785687
T431n3,dsx,male,257.750956459051,0.0481260646508279
T431n4,dsx,male,276.725294992866,0.0558157885031963
T431n5,dsx,female,251.668211915786,0.0475335185623275
T431n6,dsx,female,284.44409722201,0.0552672835509162
T431n7,dsx,male,235.168025037419,0.0445625831317002
T431n8,dsx,male,195.775381496244,0.0356348167213765
T431n9,dsx,male,216.823532958128,0.0572509533231671
T435n1,dsx,male,260.411639951486,0.0492363641955026
T435n2,dsx,male,216.06583358885,0.0411924669777578
T435n3,dsx,male,247.878106244895,0.0615783744803884
T435n4,dsx,female,306.253344652938,0.0618246859224837
T435n5,dsx,female,319.98611080969,0.0627559276431831
T435n8,dsx,female,309.69662574849,0.0605977091070974
T435n9,dsx,female,250.512363855448,0.0615013658015756
T436n1,dsx,male,241.101177470741,0.0331678083608
T436n2,dsx,male,260.203339290213,0.0611386868134086
T436n3,dsx,male,253.538513401372,0.0651321464823183
T436n7,dsx,female,323.515412650189,0.0595646671011233
T436n9,dsx,female,300.759039764393,0.0571857713343674
T398n1,dmrtTriple,female,246.688092927285,0.0262432829274702
T398n2,dmrtTriple,female,233.367854589178,0.0346864143079283
T398n4,dmrtTriple,female,266.964417104602,0.0461934816965707
T399n1,dmrtTriple,female,280.314008144042,0.066993228043852
T399n5,dmrtTriple,male,247.361555238242,0.0276927180358296
T413n1,dmrtTriple,female,264.753554167729,0.0510574236487339
T413n10,dmrtTriple,male,286.944051844413,0.0444093390459184
T413n11,dmrtTriple,female,320.451070974788,0.0830833669060786
T413n12,dmrtTriple,female,314.772934033408,0.0722257415436656
T413n13,dmrtTriple,male,278.290415852856,0.0355044221784968
T413n14,dmrtTriple,male,256.148828266346,0.0485165283157781
T413n15,dmrtTriple,female,288.751719571599,0.0456239232672599
T413n16,dmrtTriple,male,273.574284041627,0.0490586686216366
T413n17,dmrtTriple,female,322.906935337241,0.0819041205166978
T413n18,dmrtTriple,female,297.627657018333,0.06924206642213
T413n19,dmrtTriple,female,250.727386262894,0.044503593238291
T413n2,dmrtTriple,male,273.049446071586,0.0592848100448074
T413n5,dmrtTriple,male,302.411052120197,0.0484757178303435
T413n6,dmrtTriple,male,307.946604318202,0.0422672604564457
T413n7,dmrtTriple,male,276.518434185579,0.0447801052580339
T413n8,dmrtTriple,male,276.871410184905,0.0438091713724527
T413n9,dmrtTriple,male,251.009074647821,0.0361164408133437
T414n1,dmrtTriple,female,276.428009515035,0.0770662295211287
T414n10,dmrtTriple,male,288.672055376955,0.0477909559856208
T414n2,dmrtTriple,female,267.054717655806,0.0835526355086757
T414n3,dmrtTriple,male,243.086505682531,0.02852236848191
T414n4,dmrtTriple,female,287.54130138121,0.0718173433804099
T414n5,dmrtTriple,female,292.301214503122,0.04190288728318
T414n6,dmrtTriple,female,276.970917045254,0.062127258547882
T414n7,dmrtTriple,female,306.669565203693,0.0664088172786393
T414n8,dmrtTriple,female,312.180859260924,0.0913294204601169
T414n9,dmrtTriple,male,279.485241113015,0.0632723395460651
T416n10,dmrtTriple,female,278.310777529166,0.0911368534692829
T416n11,dmrtTriple,female,281.608080692141,0.0824859939080399
T416n12,dmrtTriple,male,255.205363928303,0.0618415989791213
T416n13,dmrtTriple,male,271.605923679469,0.0614273462105963
T416n14,dmrtTriple,female,269.288775192069,0.103230345102154
T416n15,dmrtTriple,male,258.443202442798,0.063474485266415
T416n16,dmrtTriple,male,279.501142911597,0.0475878791743682
T416n17,dmrtTriple,female,300.594226306642,0.0658492452186085
T416n6,dmrtTriple,female,297.252604885325,0.0735721906386307
T416n7,dmrtTriple,female,271.95424451755,0.07843064758254
T416n8,dmrtTriple,male,253.874859811767,0.0547030861237141
T416n9,dmrtTriple,male,255.480375415064,0.0456749637536759
T417n1,dmrtTriple,male,270.553342450451,0.067282941701454
T417n10,dmrtTriple,female,295.502209053597,0.0715329447464421
T417n11,dmrtTriple,male,287.375093639731,0.0490900934819117
T417n12,dmrtTriple,female,294.395048267535,0.0691114552852252
T417n14,dmrtTriple,female,319.800284900158,0.0728347221709052
